gene,comparison,log2fc,p_value,abs_log2fc
SLC4A8,HSCT_vs_Normal,-21.35650534667312,5.576516168895891e-39,21.35650534667312
SLC4A8,GCSF_vs_Normal,-21.35650534667312,5.576516168895891e-39,21.35650534667312
SLC37A1,GCSF_vs_Normal,-21.994853926503787,5.5880092754174776e-39,21.994853926503787
SLC37A1,PDAC_vs_Normal,-21.994853926503787,5.5880092754174776e-39,21.994853926503787
SLC37A1,HSCT_vs_Normal,-21.994853926503787,5.5880092754174776e-39,21.994853926503787
SLC38A1,HSCT_vs_Normal,-21.55468046573224,5.600760774305382e-39,21.55468046573224
SLC38A1,PDAC_vs_Normal,-21.55468046573224,5.600760774305382e-39,21.55468046573224
SLC38A1,GCSF_vs_Normal,-21.55468046573224,5.600760774305382e-39,21.55468046573224
SLC22A1,GCSF_vs_Normal,-22.213502330957336,5.6032320870814715e-39,22.213502330957336
SLC22A1,HSCT_vs_Normal,-22.213502330957336,5.6032320870814715e-39,22.213502330957336
SLC22A1,PDAC_vs_Normal,-22.213502330957336,5.6032320870814715e-39,22.213502330957336
SLC2A9,GCSF_vs_Normal,-22.223474038318173,5.605704464948647e-39,22.223474038318173
SLC2A9,HSCT_vs_Normal,-22.223474038318173,5.605704464948647e-39,22.223474038318173
SLC2A9,PDAC_vs_Normal,-22.223474038318173,5.605704464948647e-39,22.223474038318173
SLC7A11,GCSF_vs_Normal,-21.405730898090933,5.607353308798697e-39,21.405730898090933
SLC7A11,PDAC_vs_Normal,-21.405730898090933,5.607353308798697e-39,21.405730898090933
SLC7A11,HSCT_vs_Normal,-21.405730898090933,5.607353308798697e-39,21.405730898090933
SLC25A16,PDAC_vs_Normal,-22.6171591990145,5.608590252548093e-39,22.6171591990145
SLC25A16,HSCT_vs_Normal,-22.6171591990145,5.608590252548093e-39,22.6171591990145
SLC25A16,GCSF_vs_Normal,-22.6171591990145,5.608590252548093e-39,22.6171591990145
SLC39A1,GCSF_vs_Normal,-23.146318948396694,5.61395342258218e-39,23.146318948396694
SLC23A2,GCSF_vs_Normal,-22.86066659628005,5.61395342258218e-39,22.86066659628005
SLC23A2,PDAC_vs_Normal,-22.86066659628005,5.61395342258218e-39,22.86066659628005
SLC39A1,PDAC_vs_Normal,-23.146318948396694,5.61395342258218e-39,23.146318948396694
SLC23A2,HSCT_vs_Normal,-22.86066659628005,5.61395342258218e-39,22.86066659628005
SLC39A1,HSCT_vs_Normal,-23.146318948396694,5.61395342258218e-39,23.146318948396694
SLC16A5,PDAC_vs_Normal,-23.47947834318055,5.614366181543869e-39,23.47947834318055
SLC16A5,HSCT_vs_Normal,-23.47947834318055,5.614366181543869e-39,23.47947834318055
SLC16A5,GCSF_vs_Normal,-23.47947834318055,5.614366181543869e-39,23.47947834318055
SLC35A3,HSCT_vs_Normal,-22.416931079181598,5.6156046362885934e-39,22.416931079181598
SLC35A3,GCSF_vs_Normal,-22.416931079181598,5.6156046362885934e-39,22.416931079181598
SLC35A3,PDAC_vs_Normal,-22.416931079181598,5.6156046362885934e-39,22.416931079181598
SLC26A8,GCSF_vs_Normal,-23.083204177582743,5.6164304210225e-39,23.083204177582743
SLC26A8,HSCT_vs_Normal,-23.083204177582743,5.6164304210225e-39,23.083204177582743
SLC26A8,PDAC_vs_Normal,-23.083204177582743,5.6164304210225e-39,23.083204177582743
SLC30A6,GCSF_vs_Normal,-22.340391665901823,5.6168433578665246e-39,22.340391665901823
SLC30A6,HSCT_vs_Normal,-22.340391665901823,5.6168433578665246e-39,22.340391665901823
SLC30A6,PDAC_vs_Normal,-22.340391665901823,5.6168433578665246e-39,22.340391665901823
SLC25A28,GCSF_vs_Normal,-22.848997806780105,5.6172563243651804e-39,22.848997806780105
SLC25A28,HSCT_vs_Normal,-22.848997806780105,5.6172563243651804e-39,22.848997806780105
SLC25A28,PDAC_vs_Normal,-22.848997806780105,5.6172563243651804e-39,22.848997806780105
SLC7A6,HSCT_vs_Normal,-22.075920827301733,5.6184954018077576e-39,22.075920827301733
SLC7A6,PDAC_vs_Normal,-22.075920827301733,5.6184954018077576e-39,22.075920827301733
SLC7A6,GCSF_vs_Normal,-22.075920827301733,5.6184954018077576e-39,22.075920827301733
SLC30A7,GCSF_vs_Normal,-23.20446138222763,5.6189084869446555e-39,23.20446138222763
SLC30A7,HSCT_vs_Normal,-23.20446138222763,5.6189084869446555e-39,23.20446138222763
SLC30A7,PDAC_vs_Normal,-23.20446138222763,5.6189084869446555e-39,23.20446138222763
SLC17A5,HSCT_vs_Normal,-22.330137623055712,5.6201479203518064e-39,22.330137623055712
SLC17A5,GCSF_vs_Normal,-22.330137623055712,5.6201479203518064e-39,22.330137623055712
SLC17A5,PDAC_vs_Normal,-22.330137623055712,5.6201479203518064e-39,22.330137623055712
SLC12A4,PDAC_vs_Normal,-21.91309626736148,5.624694794605483e-39,21.91309626736148
SLC12A4,GCSF_vs_Normal,-21.91309626736148,5.624694794605483e-39,21.91309626736148
SLC12A4,HSCT_vs_Normal,-21.91309626736148,5.624694794605483e-39,21.91309626736148
SLC31A1,HSCT_vs_Normal,-23.176886679604454,5.625108324931976e-39,23.176886679604454
SLC31A1,PDAC_vs_Normal,-23.176886679604454,5.625108324931976e-39,23.176886679604454
SLC31A1,GCSF_vs_Normal,-23.176886679604454,5.625108324931976e-39,23.176886679604454
SLC44A1,GCSF_vs_Normal,-23.17173432934091,5.625521884954334e-39,23.17173432934091
SLC44A1,PDAC_vs_Normal,-23.17173432934091,5.625521884954334e-39,23.17173432934091
SLC44A1,HSCT_vs_Normal,-23.17173432934091,5.625521884954334e-39,23.17173432934091
SLC9A1,HSCT_vs_Normal,-23.53013337043254,5.6267627432182027e-39,23.53013337043254
SLC9A1,GCSF_vs_Normal,-23.53013337043254,5.6267627432182027e-39,23.53013337043254
SLC9A1,PDAC_vs_Normal,-23.53013337043254,5.6267627432182027e-39,23.53013337043254
SLC39A7,PDAC_vs_Normal,-23.652632610427293,5.6271764220452176e-39,23.652632610427293
SLC39A7,GCSF_vs_Normal,-23.652632610427293,5.6271764220452176e-39,23.652632610427293
SLC39A7,HSCT_vs_Normal,-23.652632610427293,5.6271764220452176e-39,23.652632610427293
SLC25A11,PDAC_vs_Normal,-23.85233971988779,5.627590130578656e-39,23.85233971988779
SLC25A11,GCSF_vs_Normal,-23.85233971988779,5.627590130578656e-39,23.85233971988779
SLC25A11,HSCT_vs_Normal,-23.85233971988779,5.627590130578656e-39,23.85233971988779
SLC25A1,HSCT_vs_Normal,-22.776796117331656,5.628003868820438e-39,22.776796117331656
SLC25A1,GCSF_vs_Normal,-22.776796117331656,5.628003868820438e-39,22.776796117331656
SLC25A1,PDAC_vs_Normal,-22.776796117331656,5.628003868820438e-39,22.776796117331656
SLC36A1,PDAC_vs_Normal,-23.402220323122723,5.629245261817687e-39,23.402220323122723
SLC36A1,GCSF_vs_Normal,-23.402220323122723,5.629245261817687e-39,23.402220323122723
SLC36A1,HSCT_vs_Normal,-23.402220323122723,5.629245261817687e-39,23.402220323122723
SLC27A3,GCSF_vs_Normal,-22.73208251207367,5.631314844509263e-39,22.73208251207367
SLC27A3,PDAC_vs_Normal,-22.73208251207367,5.631314844509263e-39,22.73208251207367
SLC27A3,HSCT_vs_Normal,-22.73208251207367,5.631314844509263e-39,22.73208251207367
SLC22A18,HSCT_vs_Normal,-23.3289607687633,5.6317288502207985e-39,23.3289607687633
SLC22A18,PDAC_vs_Normal,-23.3289607687633,5.6317288502207985e-39,23.3289607687633
SLC22A18,GCSF_vs_Normal,-23.3289607687633,5.6317288502207985e-39,23.3289607687633
SLC22A15,HSCT_vs_Normal,-24.323650755217393,5.6329710457395205e-39,24.323650755217393
SLC22A15,GCSF_vs_Normal,-24.323650755217393,5.6329710457395205e-39,24.323650755217393
SLC35A2,GCSF_vs_Normal,-23.747468123309194,5.6329710457395205e-39,23.747468123309194
SLC35A2,PDAC_vs_Normal,-23.747468123309194,5.6329710457395205e-39,23.747468123309194
SLC35A2,HSCT_vs_Normal,-23.747468123309194,5.6329710457395205e-39,23.747468123309194
SLC22A15,PDAC_vs_Normal,-24.323650755217393,5.6329710457395205e-39,24.323650755217393
SLC36A4,HSCT_vs_Normal,-23.723520631009723,5.633799324759619e-39,23.723520631009723
SLC36A4,PDAC_vs_Normal,-23.723520631009723,5.633799324759619e-39,23.723520631009723
SLC36A4,GCSF_vs_Normal,-23.723520631009723,5.633799324759619e-39,23.723520631009723
SLC7A7,GCSF_vs_Normal,-23.749837502280656,5.634213508878091e-39,23.749837502280656
SLC7A7,HSCT_vs_Normal,-23.749837502280656,5.634213508878091e-39,23.749837502280656
SLC7A7,PDAC_vs_Normal,-23.749837502280656,5.634213508878091e-39,23.749837502280656
SLC9A8,PDAC_vs_Normal,-24.54037530389861,5.635456239692006e-39,24.54037530389861
SLC9A8,GCSF_vs_Normal,-24.54037530389861,5.635456239692006e-39,24.54037530389861
SLC9A8,HSCT_vs_Normal,-24.54037530389861,5.635456239692006e-39,24.54037530389861
SLC8A1,PDAC_vs_Normal,-25.24226263078019,5.636284875638493e-39,25.24226263078019
SLC8A1,HSCT_vs_Normal,-25.24226263078019,5.636284875638493e-39,25.24226263078019
SLC8A1,GCSF_vs_Normal,-25.24226263078019,5.636284875638493e-39,25.24226263078019
SLC39A6,GCSF_vs_Normal,-23.333175423712195,5.6366992382387024e-39,23.333175423712195
SLC39A6,PDAC_vs_Normal,-23.333175423712195,5.6366992382387024e-39,23.333175423712195
SLC39A6,HSCT_vs_Normal,-23.333175423712195,5.6366992382387024e-39,23.333175423712195
SLC5A3,HSCT_vs_Normal,-23.260235681175878,5.6371136305933674e-39,23.260235681175878
SLC5A3,PDAC_vs_Normal,-23.260235681175878,5.6371136305933674e-39,23.260235681175878
SLC5A3,GCSF_vs_Normal,-23.260235681175878,5.6371136305933674e-39,23.260235681175878
SLC16A6,PDAC_vs_Normal,-23.759484403742288,5.6383569862036763e-39,23.759484403742288
