feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
ZNF699,5499.0,4918.0,8260.5,7753.0,6607.625,False
BTN3A3,5240.0,5177.0,8260.5,7753.0,6607.625,False
PIK3IP1,4200.0,6217.0,8260.5,7753.0,6607.625,False
LIMS1,2916.0,7505.0,8260.5,7753.0,6608.625,False
HAUS8,6991.0,3436.0,8260.5,7753.0,6610.125,False
RBFOX3,6561.0,3867.0,8260.5,7753.0,6610.375,False
HMBOX1,4972.0,5458.0,8260.5,7753.0,6610.875,False
CD52,5214.0,5217.0,8260.5,7753.0,6611.125,False
MPND,6504.0,3927.0,8260.5,7753.0,6611.125,False
RPL7A,1321.0,9111.0,8260.5,7753.0,6611.375,False
ELMOD3,6557.0,3875.0,8260.5,7753.0,6611.375,False
VAPB,5175.0,5266.0,8260.5,7753.0,6613.625,False
PPP1R12C,2509.0,7932.0,8260.5,7753.0,6613.625,False
OPRL1,5250.0,5195.0,8260.5,7753.0,6614.625,False
CEP78,5280.0,5168.0,8260.5,7753.0,6615.375,False
AREG,6318.0,4131.0,8260.5,7753.0,6615.625,False
MSI2,5154.0,5295.0,8260.5,7753.0,6615.625,False
PECR,7567.0,2884.0,8260.5,7753.0,6616.125,False
PARP4,3645.0,6808.0,8260.5,7753.0,6616.625,False
SOCS5,6363.0,4094.0,8260.5,7753.0,6617.625,False
TUBA1C,5513.0,4945.0,8260.5,7753.0,6617.875,False
PGBD2,6813.0,3652.0,8260.5,7753.0,6619.625,False
RBBP7,5518.0,4953.0,8260.5,7753.0,6621.125,False
UBE2G2,5812.0,4660.0,8260.5,7753.0,6621.375,False
STAM2,3421.0,7054.0,8260.5,7753.0,6622.125,False
BPGM,5556.0,4919.0,8260.5,7753.0,6622.125,False
CYCS,5120.0,5356.0,8260.5,7753.0,6622.375,False
INTU,7262.0,3214.0,8260.5,7753.0,6622.375,False
ENGASE,8034.0,9995.0,8260.5,202.5,6623.0,False
ZSCAN26,9975.0,7840.0,8260.5,418.0,6623.375,False
REEP3,4866.0,5615.0,8260.5,7753.0,6623.625,False
ORC2,6440.0,4043.0,8260.5,7753.0,6624.125,False
RMND1,8079.0,9890.0,8260.5,268.5,6624.5,False
ETFBKMT,7551.0,2943.0,8260.5,7753.0,6626.875,False
PXN-AS1,6775.0,3722.0,8260.5,7753.0,6627.625,False
SYNGR2,3150.0,7350.0,8260.5,7753.0,6628.375,False
NAT1,6745.0,3758.0,8260.5,7753.0,6629.125,False
STX6,3134.0,7375.0,8260.5,7753.0,6630.625,False
NOTCH2NL,5108.0,5403.0,8260.5,7753.0,6631.125,False
EFHC1,7359.0,3152.0,8260.5,7753.0,6631.125,False
CCNYL1,5589.0,4925.0,8260.5,7753.0,6631.875,False
PRMT9,6004.0,4511.0,8260.5,7753.0,6632.125,False
TPK1,5624.0,4892.0,8260.5,7753.0,6632.375,False
QARS,6449.0,4068.0,8260.5,7753.0,6632.625,False
USP11,6005.0,4516.0,8260.5,7753.0,6633.625,False
HIKESHI,6964.0,3558.0,8260.5,7753.0,6633.875,False
U2SURP,3087.0,7436.0,8260.5,7753.0,6634.125,False
