,is_slc
MAR06421,False
MAR06422,False
MAR06923,False
MAR03765,False
MAR06924,False
MAR08088,False
MAR08787,False
MAR04214,False
MAR04216,False
MAR04218,False
MAR04219,False
MAR04220,False
MAR04222,False
MAR04224,False
MAR04225,False
MAR04231,False
MAR04232,False
MAR04233,False
MAR04235,False
MAR04243,False
MAR04244,False
MAR04245,False
MAR04246,False
MAR06707,False
MAR06713,False
MAR06714,False
MAR06716,False
MAR06717,False
MAR06718,False
MAR06719,False
MAR06720,False
MAR06721,False
MAR06725,False
MAR06726,False
MAR06728,False
MAR06729,False
MAR06730,False
MAR06731,False
MAR06734,False
MAR06736,False
MAR06738,False
MAR06740,False
MAR06741,False
MAR06742,False
MAR06743,False
MAR06745,False
MAR06746,False
MAR06747,False
MAR06748,False
MAR06749,False
MAR06750,False
MAR06751,False
MAR06752,False
MAR06753,False
MAR06754,False
MAR06755,False
MAR06756,False
MAR06758,False
MAR06760,False
MAR06761,False
MAR06762,False
MAR06763,False
MAR06764,False
MAR06765,False
MAR06766,False
MAR06767,False
MAR06768,False
MAR06770,False
MAR06772,False
MAR06774,False
MAR06776,False
MAR06778,False
MAR06782,False
MAR06783,False
MAR06784,False
MAR06785,False
MAR06786,False
MAR06787,False
MAR06789,False
MAR06790,False
MAR06791,False
MAR06807,False
MAR06808,False
MAR06811,False
MAR06813,False
MAR06817,False
MAR06826,False
MAR06829,False
MAR06831,False
MAR06834,False
MAR06838,False
MAR06839,False
MAR06841,False
MAR06844,False
MAR06845,False
MAR06849,False
MAR06850,False
MAR06851,False
MAR06854,False
MAR06874,False
MAR06875,False
MAR06876,False
MAR06877,False
MAR06883,False
MAR06888,False
MAR07628,False
MAR07756,False
MAR08539,False
MAR08794,False
MAR08795,False
MAR08796,False
MAR03875,False
MAR03877,False
MAR03879,False
MAR03881,False
MAR03912,False
MAR03917,False
MAR03919,False
MAR03920,False
MAR03928,False
MAR03995,False
MAR03996,False
MAR04189,False
MAR04302,False
MAR04323,False
MAR05381,False
MAR05385,False
MAR05386,False
MAR05387,False
MAR05389,False
MAR05390,False
MAR05391,False
MAR05418,False
MAR05419,False
MAR06515,False
MAR06518,False
MAR06519,False
MAR06520,False
MAR08062,False
MAR08066,False
MAR08067,False
MAR08068,False
MAR08069,False
MAR08682,False
MAR08685,False
MAR03868,False
MAR03869,False
MAR03889,False
MAR03933,False
MAR03937,False
MAR04116,False
MAR04120,False
MAR04121,False
MAR04175,False
MAR04176,False
MAR04324,False
MAR04326,False
MAR04328,False
MAR04329,False
MAR04708,False
MAR08769,False
MAR08770,False
MAR08771,True
MAR04078,False
MAR04079,False
MAR04174,False
MAR04330,False
MAR04347,False
MAR04425,False
MAR04427,False
MAR04689,False
MAR04735,False
MAR07991,False
MAR07992,False
MAR07993,False
MAR07128,False
MAR07129,False
MAR07130,False
MAR07131,False
MAR07133,False
MAR07137,False
MAR07140,False
MAR07141,False
MAR07647,False
MAR08689,False
MAR08690,False
MAR03748,False
MAR03753,False
MAR03755,False
MAR03759,False
MAR03763,False
MAR03773,False
MAR03775,False
MAR03780,False
MAR03785,False
MAR03790,False
MAR03792,False
MAR03796,False
MAR03823,False
MAR06416,False
MAR03986,False
MAR03988,False
MAR04124,False
MAR04158,False
MAR04159,False
MAR04299,False
MAR04300,False
MAR04494,False
MAR04524,False
MAR04525,False
MAR04526,False
MAR04527,False
MAR04528,False
MAR04529,False
MAR04530,False
MAR04531,False
MAR04532,False
MAR04533,False
MAR04534,False
MAR04536,False
MAR04628,False
MAR04629,False
MAR04631,False
MAR08366,False
MAR08367,False
MAR08368,False
MAR08371,False
MAR08372,False
MAR08373,False
MAR08375,False
MAR08376,False
MAR08377,False
MAR05130,False
MAR05131,False
MAR05132,False
MAR05133,False
MAR05134,False
MAR05135,False
MAR05136,False
MAR05137,False
MAR05138,False
MAR05139,False
MAR05140,False
MAR05141,False
MAR05142,False
MAR05143,False
MAR05145,False
MAR05146,False
MAR05147,False
MAR05148,False
MAR05149,False
MAR05150,False
MAR07171,False
MAR07172,False
MAR07174,False
MAR07175,False
MAR07180,False
MAR07181,False
MAR07183,False
MAR07197,False
MAR07436,False
MAR07438,False
MAR07440,False
MAR08254,False
MAR08255,False
MAR08256,False
MAR08257,False
MAR08258,False
MAR08260,False
MAR08261,False
MAR01532,False
MAR07254,False
MAR07258,False
MAR07259,False
MAR07260,False
MAR07261,False
MAR07263,False
MAR07264,False
MAR07265,False
MAR07266,False
MAR07267,False
MAR07268,False
MAR07269,False
MAR07270,False
MAR07271,False
MAR07274,False
MAR07275,False
MAR07276,False
MAR07277,False
MAR07278,False
MAR07279,False
MAR07280,False
MAR07281,False
MAR07285,False
MAR07286,False
MAR07287,False
MAR07288,False
MAR07289,False
MAR07290,False
MAR07291,False
MAR07292,False
MAR07293,False
MAR07294,False
MAR07295,False
MAR07296,False
MAR07297,False
MAR07298,False
MAR07299,False
MAR07300,False
MAR07301,False
MAR07302,False
MAR07303,False
MAR07304,False
MAR07305,False
MAR07306,False
MAR07308,False
MAR07309,False
MAR07310,False
MAR07311,False
MAR07312,False
MAR07313,False
MAR07314,False
MAR07315,False
MAR07316,False
MAR07317,False
MAR07318,False
MAR07319,False
MAR07320,False
MAR07321,False
MAR07322,False
MAR07323,False
MAR07324,False
MAR07325,False
MAR07326,False
MAR07327,False
MAR07328,False
MAR07329,False
MAR07332,False
MAR07333,False
MAR07334,False
MAR07428,False
MAR07429,False
MAR07574,False
MAR07575,False
MAR07576,False
MAR07577,False
MAR07578,False
MAR07580,False
MAR07582,False
MAR07585,False
MAR07586,False
MAR07587,False
MAR08691,False
MAR08692,False
MAR08693,False
MAR08694,False
MAR08695,False
MAR05151,False
MAR05152,False
MAR05153,False
MAR05154,False
MAR05155,False
