feature,lda_score
MAR02207__ci_upper,2.1850030480861634e+26
MAR02775__ci_lower,2.1837132057859484e+26
MAR00085__sd_flux,2.1803628544963992e+26
MAR04728__mean_flux,2.1704563356730368e+26
MAR11262__mean_flux,2.1704563356730368e+26
MAR04901__mean_flux,2.1704563356730368e+26
MAR08274__cv,2.167358142075562e+26
MAR01921__cv,2.1641903707231047e+26
MAR01087__cv,2.163830424786501e+26
MAR07942__cv,2.1465290531586164e+26
MAR03590__mean_flux,2.140140372378175e+26
MAR09406__cv,2.138375153038487e+26
MAR04958__cv,2.138375153038487e+26
MAR06847__mean_flux,2.1377460565529336e+26
MAR01717__sd_flux,2.1370083982411607e+26
MAR04421__cv,2.1352618687688843e+26
MAR07772__ci_lower,2.130459134834199e+26
MAR02391__mean_flux,2.1300334765242554e+26
MAR11948__ci_upper,2.1294137605683172e+26
MAR09878__mean_flux,2.1288019925273035e+26
MAR05740__mean_flux,2.1272266290450083e+26
MAR02856__cv,2.1260168997863645e+26
MAR01306__sd_flux,2.1255369743901537e+26
MAR04238__sd_flux,2.1255369743901537e+26
MAR01307__sd_flux,2.1255369743901537e+26
MAR02503__ci_lower,2.1237244346120347e+26
MAR03952__sd_flux,2.1214010803239473e+26
MAR05027__cv,2.118804891748409e+26
MAR04582__cv,2.117565133316983e+26
MAR00745__mean_flux,2.1153025675272163e+26
MAR00107__ci_lower,2.114114245587352e+26
MAR03186__ci_upper,2.1131531432088652e+26
MAR08665__mean_flux,2.113142061738227e+26
MAR01347__cv,2.113095470774025e+26
MAR06731__cv,2.0956391382139352e+26
MAR01189__sd_flux,2.0935686883418086e+26
MAR08450__mean_flux,2.0917663949393742e+26
MAR00553__mean_flux,2.083703791710708e+26
MAR00270__mean_flux,2.0821751952069295e+26
MAR06940__cv,2.07563601545196e+26
MAR04645__ci_upper,2.071761233677011e+26
MAR05813__sd_flux,2.0699853829288204e+26
MAR02233__sd_flux,2.068506173031486e+26
MAR06911__mean_flux,2.06711055399277e+26
MAR02229__cv,2.064926832160482e+26
MAR08069__cv,2.0499664218949e+26
MAR05146__mean_flux,2.0486696216262917e+26
MAR08997__ci_lower,2.047164904488282e+26
MAR00191__sd_flux,2.0437873160892367e+26
MAR01195__sd_flux,2.0380611231590294e+26
MAR04673__ci_upper,2.036744949470186e+26
MAR00489__sd_flux,2.0338650725212226e+26
MAR02155__cv,2.032650509092442e+26
MAR02152__cv,2.032650509092442e+26
MAR02154__cv,2.032650509092442e+26
MAR02153__cv,2.032650509092442e+26
MAR02156__cv,2.032650509092442e+26
MAR02157__cv,2.032650509092442e+26
MAR02158__cv,2.032650509092442e+26
MAR02163__cv,2.032650509092442e+26
MAR02159__cv,2.032650509092442e+26
MAR02162__cv,2.032650509092442e+26
MAR02160__cv,2.032650509092442e+26
MAR02161__cv,2.032650509092442e+26
MAR08765__sd_flux,2.032650509092442e+26
MAR03487__ci_lower,2.0305755777149326e+26
MAR12572__mean_flux,2.0255923359795852e+26
MAR10438__sd_flux,2.018154680943745e+26
MAR00166__sd_flux,2.018154680943745e+26
MAR06347__cv,2.018154680943745e+26
