feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
ZNF438,1824.0,2994.0,16924.0,408.0,5537.5,False
ABTB1,2334.0,2347.0,16924.0,547.0,5538.0,False
CCND2,1583.0,3422.0,16924.0,223.5,5538.125,False
SMIM4,2908.0,2329.0,16924.0,11.0,5543.0,False
ATPAF2,2001.0,2696.0,16924.0,552.0,5543.25,False
PAG1,4730.0,91.0,142.0,17240.5,5550.875,False
NDUFB11,2615.0,2264.0,85.0,17240.5,5551.125,False
LACTB,2354.0,2386.0,16924.0,545.0,5552.25,False
ETV7,3534.0,1373.0,64.0,17240.5,5552.875,False
RPS8,4626.0,82.0,267.0,17240.5,5553.875,False
ITGB1BP1,2593.0,2354.0,34.0,17240.5,5555.375,False
S100A8,4860.0,8.0,126.0,17240.5,5558.625,False
IL4R,849.0,4337.0,16924.0,136.5,5561.625,False
RAB10,4438.0,306.0,265.0,17240.5,5562.375,False
TREM1,1163.0,4060.0,16924.0,120.0,5566.75,False
LGMN,2063.0,2713.0,16924.0,570.0,5567.5,False
NDUFS5,3846.0,1254.0,16924.0,253.0,5569.25,False
BTF3,4575.0,246.0,236.0,17240.5,5574.375,False
EPSTI1,4568.0,323.0,176.0,17240.5,5576.875,False
STARD10,1990.0,3396.0,16924.0,28.0,5584.5,False
APAF1,898.0,4024.0,16924.0,494.0,5585.0,False
MAP2K6,1425.0,3111.0,16924.0,902.0,5590.5,False
C5orf15,3764.0,1243.0,16924.0,436.0,5591.75,False
PDCL,637.0,4333.0,16924.0,475.5,5592.375,False
UBC,2769.0,1741.0,16924.0,939.0,5593.25,False
CLTB,1769.0,3591.0,16924.0,89.0,5593.25,False
ARG1,4345.0,522.0,273.0,17240.5,5595.125,False
NUP214,4285.0,924.0,16924.0,253.0,5596.5,False
SFXN3,1048.0,3822.0,16924.0,609.0,5600.75,False
MRPL11,3200.0,1737.0,16924.0,543.0,5601.0,False
DUSP10,1443.0,3823.0,16924.0,223.5,5603.375,False
MEA1,3757.0,1646.0,16924.0,89.0,5604.0,False
BSG,4059.0,902.0,215.0,17240.5,5604.125,False
CHKA,1488.0,3906.0,16924.0,100.5,5604.625,False
HLA-DMA,4903.0,204.0,119.0,17240.5,5616.625,False
POLD3,2935.0,2131.0,16924.0,490.0,5620.0,False
IL27,2320.0,2850.0,78.0,17240.5,5622.125,False
NIT2,1239.0,4116.0,16924.0,212.0,5622.75,False
RPL9,5100.0,26.0,127.0,17240.5,5623.375,False
HLA-DMB,4833.0,291.0,149.0,17240.5,5628.375,False
MZF1-AS1,3108.0,2429.0,16924.0,85.0,5636.5,False
RPL6,5103.0,83.0,135.0,17240.5,5640.375,False
RETN,5151.0,96.0,95.0,17240.5,5645.625,False
ENTPD1,3039.0,2029.0,276.0,17240.5,5646.125,False
ZNF331,4299.0,746.0,305.0,17240.5,5647.625,False
LAIR1,5097.0,230.0,16924.0,347.5,5649.625,False
KIAA1143,1279.0,3728.0,16924.0,668.0,5649.75,False
PCBD1,270.0,5404.0,16924.0,29.0,5656.75,False
ICMT,3231.0,1836.0,16924.0,646.5,5659.375,False
CLU,4932.0,353.0,116.0,17240.5,5660.375,False
C4orf3,4643.0,319.0,16924.0,765.0,5662.75,False
GTF2H5,4160.0,673.0,16924.0,898.0,5663.75,False
HLA-DQA2,4999.0,275.0,155.0,17240.5,5667.375,False
NAE1,1097.0,4408.0,16924.0,253.0,5670.5,False
MTMR11,1006.0,4500.0,16924.0,253.0,5670.75,False
GABARAPL1,4809.0,466.0,184.0,17240.5,5674.875,False
