gene,comparison,log2fc,p_value,abs_log2fc
SLC16A6,Survivor_vs_Healthy,-0.6354965501058223,2.562143669163401e-34,0.6354965501058223
SLC12A6,Fatal_vs_Healthy,-0.4721709086011103,2.562143669163401e-34,0.4721709086011103
SLC52A2,Fatal_vs_Healthy,1.1344614009018374,2.562143669163401e-34,1.1344614009018374
SLC41A1,Fatal_vs_Healthy,1.1715591980607443,2.562143669163401e-34,1.1715591980607443
SLC2A3,Fatal_vs_Healthy,-0.5526818949342731,2.562143669163401e-34,0.5526818949342731
SLCO4A1,Survivor_vs_Healthy,3.809692071304878,2.562143669163401e-34,3.809692071304878
SLC25A20,Survivor_vs_Healthy,2.5317630851477184,2.562143669163401e-34,2.5317630851477184
SLC2A1,Survivor_vs_Healthy,1.706017301254232,2.562143669163401e-34,1.706017301254232
SLC25A39,Fatal_vs_Healthy,0.3330149502979737,2.562143669163401e-34,0.3330149502979737
SLC15A4,Survivor_vs_Healthy,0.9261934688021048,2.562143669163401e-34,0.9261934688021048
SLC35D1,Fatal_vs_Healthy,1.2593158513258498,2.562143669163401e-34,1.2593158513258498
SLC25A29,Survivor_vs_Healthy,-1.612835621340898,2.562143669163401e-34,1.612835621340898
SLC35C1,Fatal_vs_Healthy,2.8810134760820647,2.562143669163401e-34,2.8810134760820647
SLC6A6,Survivor_vs_Healthy,0.5679907928147995,2.562143669163401e-34,0.5679907928147995
SLC31A1,Survivor_vs_Healthy,0.4933403242710497,2.562143669163401e-34,0.4933403242710497
SLC33A1,Survivor_vs_Healthy,1.2270979356418412,2.562143669163401e-34,1.2270979356418412
SLC1A3,Survivor_vs_Healthy,2.066356690833357,2.562143669163401e-34,2.066356690833357
SLC37A4,Survivor_vs_Healthy,2.479625448496679,2.562143669163401e-34,2.479625448496679
SLC25A3,Fatal_vs_Healthy,0.2055245214460051,2.562143669163401e-34,0.2055245214460051
SLC2A6,Survivor_vs_Healthy,0.5989702379987608,2.562143669163401e-34,0.5989702379987608
SLC25A40,Survivor_vs_Healthy,1.5687288772839216,2.562143669163401e-34,1.5687288772839216
SLC25A14,Fatal_vs_Healthy,0.8765160819267,2.562143669163401e-34,0.8765160819267
SLC25A5,Fatal_vs_Healthy,-0.49933699331582937,2.562143669163401e-34,0.49933699331582937
SLC5A6,Fatal_vs_Healthy,1.3904742072849237,2.562143669163401e-34,1.3904742072849237
SLC25A26,Fatal_vs_Healthy,0.41918215807388187,2.562143669163401e-34,0.41918215807388187
SLC39A6,Survivor_vs_Healthy,0.8302519804131843,2.562143669163401e-34,0.8302519804131843
SLC3A2,Survivor_vs_Healthy,-0.29993240475055377,2.562143669163401e-34,0.29993240475055377
SLC22A16,Survivor_vs_Healthy,1.519422157617953,2.562143669163401e-34,1.519422157617953
SLC39A3,Survivor_vs_Healthy,1.2782918942707233,2.562143669163401e-34,1.2782918942707233
SLC12A7,Survivor_vs_Healthy,-2.104613705092149,2.562143669163401e-34,2.104613705092149
SLC39A7,Survivor_vs_Healthy,1.1061791253283184,2.562143669163401e-34,1.1061791253283184
SLC38A1,Survivor_vs_Healthy,0.5519795238221759,2.562143669163401e-34,0.5519795238221759
SLC25A22,Fatal_vs_Healthy,1.552440051569562,2.562143669163401e-34,1.552440051569562
SLC25A11,Survivor_vs_Healthy,1.4750223312598696,2.562143669163401e-34,1.4750223312598696
SLC16A7,Survivor_vs_Healthy,2.6336449320691986,2.562143669163401e-34,2.6336449320691986
SLC7A7,Survivor_vs_Healthy,-0.623486881753836,2.562143669163401e-34,0.623486881753836
SLC23A2,Survivor_vs_Healthy,-1.2657162234853845,2.562143669163401e-34,1.2657162234853845
SLC27A4,Survivor_vs_Healthy,3.4359412030859477,2.562143669163401e-34,3.4359412030859477
SLC9A7,Fatal_vs_Healthy,-1.267160867726064,2.562143669163401e-34,1.267160867726064
SLC35B2,Fatal_vs_Healthy,-1.3707035624561774,2.562143669163401e-34,1.3707035624561774
SLC25A1,Fatal_vs_Healthy,0.545424661825508,2.562143669163401e-34,0.545424661825508
SLC44A2,Survivor_vs_Healthy,0.7021281848354908,2.562143669163401e-34,0.7021281848354908
SLC30A7,Survivor_vs_Healthy,0.6651510064044768,2.562143669163401e-34,0.6651510064044768
SLC35B4,Survivor_vs_Healthy,1.6418368105540173,2.562143669163401e-34,1.6418368105540173
SLC39A8,Survivor_vs_Healthy,3.444213646138305,2.562143669163401e-34,3.444213646138305
SLC25A29,Fatal_vs_Healthy,-2.5763859921064682,2.562143669163401e-34,2.5763859921064682
SLC15A4,Fatal_vs_Healthy,1.1280455253983244,2.562143669163401e-34,1.1280455253983244
SLC36A4,Fatal_vs_Healthy,0.59600068675633,2.562143669163401e-34,0.59600068675633
SLC26A11,Fatal_vs_Healthy,-0.76880885741908,2.562143669163401e-34,0.76880885741908
SLC51A,Fatal_vs_Healthy,1.522005345314062,2.562143669163401e-34,1.522005345314062
SLC25A33,Survivor_vs_Healthy,-0.6634384893228013,2.562143669163401e-34,0.6634384893228013
SLC25A3,Survivor_vs_Healthy,0.11264878859803168,2.562143669163401e-34,0.11264878859803168
SLC43A2,Survivor_vs_Healthy,-1.0542254265481794,2.562143669163401e-34,1.0542254265481794
SLC15A3,Fatal_vs_Healthy,-0.31488197052271794,2.562143669163401e-34,0.31488197052271794
SLC51A,Survivor_vs_Healthy,2.3606416275860638,2.562143669163401e-34,2.3606416275860638
SLC52A2,Survivor_vs_Healthy,0.94846098799686,2.562143669163401e-34,0.94846098799686
